Country,Biome,Bait_Type,TotalAntBaitType,newAttr,Site_ID,Latitude,Longitude,Date,Habitat_type,Elevation,Distance_from_shore,Precipitation,Temperature,Contributor,Site_Details,Number_of_Ants,Percent_of_Baits_with_Ants
Finland,Woodland/Shrubland,Water,2,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Water,2,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Water,2,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,2,20
Finland,Woodland/Shrubland,Water,2,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,0,0
Finland,Woodland/Shrubland,Water,2,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,0,0
Finland,Woodland/Shrubland,Water,2,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,0,0
Finland,Woodland/Shrubland,Water,2,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,0,0
Finland,Woodland/Shrubland,Water,2,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,82,20
Finland,Woodland/Shrubland,Olive Oil,92,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,1,20
Finland,Woodland/Shrubland,Olive Oil,92,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,0,0
Finland,Woodland/Shrubland,Olive Oil,92,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,8,20
Finland,Woodland/Shrubland,Olive Oil,92,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,1,20
Finland,Woodland/Shrubland,Salt,8,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,1,20
Finland,Woodland/Shrubland,Salt,8,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Salt,8,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Salt,8,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,1,20
Finland,Woodland/Shrubland,Salt,8,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,1,20
Finland,Woodland/Shrubland,Salt,8,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,0,0
Finland,Woodland/Shrubland,Salt,8,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,4,60
Finland,Woodland/Shrubland,Salt,8,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,0,0
Finland,Woodland/Shrubland,Salt,8,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,1,20
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,0,0
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,21,60
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,120,60
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,15,60
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,42,100
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,183,80
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,4,20
Australia,Tropical seasonal forest/Savanna,Amino Acids,386,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,1,20
Australia,Desert,Amino Acids,258,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,224,100
Australia,Desert,Amino Acids,258,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,19,60
Australia,Desert,Amino Acids,258,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,3,60
Australia,Desert,Amino Acids,258,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,2,20
Australia,Desert,Amino Acids,258,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,1,20
Australia,Desert,Amino Acids,258,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,9,60
Australia,Grassland/Cold desert,Amino Acids,11,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,2,40
Australia,Grassland/Cold desert,Amino Acids,11,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,3,40
Australia,Grassland/Cold desert,Amino Acids,11,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,5,20
Australia,Grassland/Cold desert,Amino Acids,11,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,1,20
Australia,Temperate seasonal forest,Amino Acids,24,,292,-37.87,144.22,,Low open Eucalyptus forest with shrub layer dominated by Acacia myrtifolia,325,33,723,12.7,A.E. Mart?nez Bauer; G.C. Mart?nez,Brisbane Ranges National Park. Victoria Australia.,0,0
Australia,Temperate seasonal forest,Amino Acids,24,,291,-37.865,144.215,,Low open Eucalyptus forest with shrub layer dominated by Acacia myrtifolia,325,35,723,12.7,A.E. Mart?nez Bauer; G.C. Mart?nez,Brisbane Ranges National Park. Victoria Australia.,0,0
Australia,Temperate seasonal forest,Amino Acids,24,,289,-37.647,149.355,,Open Eucalyptus forest of species shrub layer composed mainly by Acacia myrtifolia,177,15,1002,14.2,A.E. Mart?nez Bauer; G.C. Mart?nez,Croajingolong National Park. Victoria Australia,2,20
Australia,Temperate seasonal forest,Amino Acids,24,,290,-37.65,149.36,,Open Eucalyptus forest of species shrub layer composed mainly by Acacia myrtifolia,177,19,1002,14.2,A.E. Mart?nez Bauer; G.C. Mart?nez,Croajingolong National Park. Victoria Australia,3,40
Australia,Temperate seasonal forest,Amino Acids,24,,293,-37.801,145.382,,Open Eucalyptus forest with a semidominant Ptreidium esculentum {Austral bracken) and Acacia myrtifolia shrub layer,265,36,1097,13.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Dandenong Ranges National park. Victoria Australia.,4,40
Australia,Temperate seasonal forest,Amino Acids,24,,287,-37.128,142.366,,Low open Eucalyptus forest with shrub layer dominated by Xanthorrhoea australis (Austral grass tree),386,137,831,12.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Grampians National Park. Victoria Australia,10,20
Australia,Temperate seasonal forest,Amino Acids,24,,288,-37.13,142.366,,Low open Eucalyptus forest with shrub layer dominated by Xanthorrhoea australis (Austral grass tree),386,139,831,12.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Grampians National Park. Victoria Australia,5,20
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,6,20
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,17,60
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,61,80
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,213,100
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,164,100
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,1079,100
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,101,80
Australia,Tropical seasonal forest/Savanna,Cookie,1644,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,3,20
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,3,20
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,19,60
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,64,80
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,168,60
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,266,100
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,456,80
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,44,40
Australia,Tropical seasonal forest/Savanna,Sugar,1049,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,29,80
Australia,Tropical seasonal forest/Savanna,Water,155,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,0,0
Australia,Tropical seasonal forest/Savanna,Water,155,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,17,60
Australia,Tropical seasonal forest/Savanna,Water,155,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,2,20
Australia,Tropical seasonal forest/Savanna,Water,155,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,75,60
Australia,Tropical seasonal forest/Savanna,Water,155,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,4,20
Australia,Tropical seasonal forest/Savanna,Water,155,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,43,100
Australia,Tropical seasonal forest/Savanna,Water,155,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,1,20
Australia,Tropical seasonal forest/Savanna,Water,155,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,13,60
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,2,40
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,60,40
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,361,60
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,147,80
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,203,80
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,149,40
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,0,0
Australia,Tropical seasonal forest/Savanna,Olive Oil,954,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,32,60
Australia,Tropical seasonal forest/Savanna,Salt,408,,50,-13.2333,131.1,,,58,7,1318,27.2,Andersen,adelelaie river,2,40
Australia,Tropical seasonal forest/Savanna,Salt,408,,49,-12.6998,131.0166,,,25,7,1486,27.3,Andersen,Bery springs,68,40
Australia,Tropical seasonal forest/Savanna,Salt,408,,54,-14.5822,132.467,,,162,296,966,27.1,Andersen,cutta cutta,6,20
Australia,Tropical seasonal forest/Savanna,Salt,408,,48,-12.4667,130.8333,,,102,1,1492,27.8,Andersen,Darwin,107,80
Australia,Tropical seasonal forest/Savanna,Salt,408,,52,-14.1893,132.1884,,,176,232,1115,27.1,Andersen,edith falls,18,60
Australia,Tropical seasonal forest/Savanna,Salt,408,,53,-14.4667,132.2667,,,209,261,998,27.5,Andersen,katherine,176,40
Australia,Tropical seasonal forest/Savanna,Salt,408,,51,-13.8167,131.8333,,,154,181,1224,26.7,Andersen,pine creek,1,20
Australia,Tropical seasonal forest/Savanna,Salt,408,,224,-15.61538333,131.1262889,,Tropical savanna woodland,51,173,842,27.3,H. Gibb,,30,60
Australia,Desert,Cookie,270,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,169,100
Australia,Desert,Cookie,270,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,34,60
Australia,Desert,Cookie,270,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,9,60
Australia,Desert,Cookie,270,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,10,60
Australia,Desert,Cookie,270,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,25,60
Australia,Desert,Cookie,270,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,23,80
Australia,Desert,Sugar,646,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,415,100
Australia,Desert,Sugar,646,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,50,80
Australia,Desert,Sugar,646,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,3,40
Australia,Desert,Sugar,646,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,6,40
Australia,Desert,Sugar,646,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,142,60
Australia,Desert,Sugar,646,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,30,80
Australia,Desert,Water,264,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,242,100
Australia,Desert,Water,264,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,13,40
Australia,Desert,Water,264,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,0,0
Australia,Desert,Water,264,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,4,40
Australia,Desert,Water,264,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,0,0
Australia,Desert,Water,264,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,5,40
Australia,Desert,Olive Oil,176,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,96,80
Australia,Desert,Olive Oil,176,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,35,20
Australia,Desert,Olive Oil,176,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,7,40
Australia,Desert,Olive Oil,176,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,3,60
Australia,Desert,Olive Oil,176,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,0,0
Australia,Desert,Olive Oil,176,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,35,40
Australia,Desert,Salt,310,,56,-16.25,133.3667,,,211,420,700,26.4,Andersen,daly waters,292,100
Australia,Desert,Salt,310,,55,-15.5833,133.2167,,,187,393,794,26.8,Andersen,larrimah,1,20
Australia,Desert,Salt,310,,217,-23.3422,138.32358,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,164,663,223,23.6,H. Gibb,,1,20
Australia,Desert,Salt,310,,216,-23.3205,138.42942,,Desert - Arid - Dune - Spinifex (Triodia irritans)-dominated,163,656,224,23.7,H. Gibb,,1,20
Australia,Desert,Salt,310,,219,-30.22567,136.542848,,Desert - Arid - Low dunes,102,330,167,20,H. Gibb,,1,20
Australia,Desert,Salt,310,,218,-30.224017,136.541835,,Desert - Arid - Low dunes,102,331,167,20,H. Gibb,,14,80
Australia,Grassland/Cold desert,Cookie,71,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,14,100
Australia,Grassland/Cold desert,Cookie,71,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,14,80
Australia,Grassland/Cold desert,Cookie,71,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,28,80
Australia,Grassland/Cold desert,Cookie,71,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,15,60
Australia,Grassland/Cold desert,Sugar,276,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,64,100
Australia,Grassland/Cold desert,Sugar,276,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,165,100
Australia,Grassland/Cold desert,Sugar,276,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,34,80
Australia,Grassland/Cold desert,Sugar,276,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,13,80
Australia,Grassland/Cold desert,Water,15,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,7,40
Australia,Grassland/Cold desert,Water,15,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,0,0
Australia,Grassland/Cold desert,Water,15,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,6,60
Australia,Grassland/Cold desert,Water,15,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,2,20
Australia,Grassland/Cold desert,Olive Oil,103,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,94,60
Australia,Grassland/Cold desert,Olive Oil,103,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,1,20
Australia,Grassland/Cold desert,Olive Oil,103,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,8,60
Australia,Grassland/Cold desert,Olive Oil,103,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,0,0
Australia,Grassland/Cold desert,Salt,24,,220,-33.15007,141.13033,,Semi arid - Dune - Open mallee Eucalyptus woodland - Spinifex (Triodia scariosa),87,289,241,17.6,H. Gibb,,3,40
Australia,Grassland/Cold desert,Salt,24,,221,-33.125331,141.100784,,Semi-arid - Belah (Casuarina pauper) woodland,59,285,239,17.6,H. Gibb,,0,0
Australia,Grassland/Cold desert,Salt,24,,222,-34.51691,139.454647,,Semi-arid - Open mallee Eucalyptus woodland,89,82,290,16,H. Gibb,,19,20
Australia,Grassland/Cold desert,Salt,24,,223,-34.522127,139.445399,,Semi-arid - Open mallee Eucalyptus woodland,92,84,290,16,H. Gibb,,2,20
Australia,Temperate seasonal forest,Cookie,278,,292,-37.87,144.22,,Low open Eucalyptus forest with shrub layer dominated by Acacia myrtifolia,325,33,723,12.7,A.E. Mart?nez Bauer; G.C. Mart?nez,Brisbane Ranges National Park. Victoria Australia.,1,20
Australia,Temperate seasonal forest,Cookie,278,,291,-37.865,144.215,,Low open Eucalyptus forest with shrub layer dominated by Acacia myrtifolia,325,35,723,12.7,A.E. Mart?nez Bauer; G.C. Mart?nez,Brisbane Ranges National Park. Victoria Australia.,26,40
Australia,Temperate seasonal forest,Cookie,278,,289,-37.647,149.355,,Open Eucalyptus forest of species shrub layer composed mainly by Acacia myrtifolia,177,15,1002,14.2,A.E. Mart?nez Bauer; G.C. Mart?nez,Croajingolong National Park. Victoria Australia,6,60
Australia,Temperate seasonal forest,Cookie,278,,290,-37.65,149.36,,Open Eucalyptus forest of species shrub layer composed mainly by Acacia myrtifolia,177,19,1002,14.2,A.E. Mart?nez Bauer; G.C. Mart?nez,Croajingolong National Park. Victoria Australia,18,40
Australia,Temperate seasonal forest,Cookie,278,,293,-37.801,145.382,,Open Eucalyptus forest with a semidominant Ptreidium esculentum {Austral bracken) and Acacia myrtifolia shrub layer,265,36,1097,13.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Dandenong Ranges National park. Victoria Australia.,4,20
Australia,Temperate seasonal forest,Cookie,278,,287,-37.128,142.366,,Low open Eucalyptus forest with shrub layer dominated by Xanthorrhoea australis (Austral grass tree),386,137,831,12.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Grampians National Park. Victoria Australia,217,80
Australia,Temperate seasonal forest,Cookie,278,,288,-37.13,142.366,,Low open Eucalyptus forest with shrub layer dominated by Xanthorrhoea australis (Austral grass tree),386,139,831,12.4,A.E. Mart?nez Bauer; G.C. Mart?nez,Grampians National Park. Victoria Australia,6,60
Australia,Temperate seasonal forest,Sugar,181,,292,-37.87,144.22,,Low open Eucalyptus forest with shrub layer dominated by Acacia myrtifolia,325,33,723,12.7,A.E. Mart?nez Bauer; G.C. Mart?nez,Brisbane Ranges National Park. Victoria Australia.,11,60
